"filename", "language", "JSON", "YAML", "Swift", "Dart", "Groovy", "comment", "blank", "total"
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\transaksi\pembelian.dart", "Dart", 0, 0, 0, 197, 0, 3, 5, 205
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\transaksi\pemesanancontent.dart", "Dart", 0, 0, 0, 170, 0, 1, 9, 180
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\transaksi\pemesananwidget.dart", "Dart", 0, 0, 0, 116, 0, 0, 4, 120
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\transaksi\penjualan.dart", "Dart", 0, 0, 0, 216, 0, 2, 5, 223
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\transaksi\riwayatcontent.dart", "Dart", 0, 0, 0, 93, 0, 1, 10, 104
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\transaksi\semua.dart", "Dart", 0, 0, 0, 564, 0, 22, 32, 618
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\transfer\transferconfirmationpage.dart", "Dart", 0, 0, 0, 405, 0, 20, 32, 457
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\transfer\transferpage.dart", "Dart", 0, 0, 0, 250, 0, 12, 23, 285
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\transfer\transferpinpage.dart", "Dart", 0, 0, 0, 687, 0, 14, 78, 779
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\transfer\transferreceipt.dart", "Dart", 0, 0, 0, 244, 0, 44, 67, 355
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 8, 0, 0, 0, 0, 8
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\macos\firebase_app_id_file.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\pubspec.yaml", "YAML", 0, 10, 0, 0, 0, 0, 0, 10
"Total", "-", 60, 10, 8, 7373, 4, 365, 686, 8506
